ID;Set;Human Monitoring Requirement
114;qure;The central activation device uses the crash acceleration and pressure forces measured by appropriate sensors and the resulting values to determine whether the threshold value for firing the seat belt tightener and / or the airbag firing squibs or for activation of the crash switches has been reached (see the `` Technical Specifications for Algorithms '').
159;qure;Appropriate firing thresholds are calculated on the basis of the crash measurement signals under consideration of all parameters (belt buckle status, equipment programming, etc.).
172;qure;To distinguish between normal engine running and bad driver actions, the software has to use the current gear and clutch information on manual transmission cars to detect if the driver has occured an engine stalling.
226;qure;For validation of certain component functions a function specific data base may be necessary, e.g. tunnels and bridges, pedestrians, oncoming or crossing objects, situations with high yaw dynamic, lane radius verification, etc.
227;qure;The detection shall be done in a certain way and filter for error detection shall be used.
284;qure;The system provides the ability to start an Active Comfort program (`` Program Recommendation '') when the attention assist issues a certain level or a drowsiness warning.
287;qure;By viewing the area behind the vehicle closely and without constraints on a display the driver shall be able to park in more easily.
288;qure;Therefore the system will provide a view that shows these dangered parts closely.
378;qure;The IDC shall provide objects reliable if they are closer than 100 m to ensure a synchronisation to the ADAS graphic in the IC.
380;qure;close passing of real PD for validation of motion (e.g. motion of arms or legs, etc.)
462;qure;To monitor the temperature of the vehicle inlet close to the DC pins, a second temperature sensor (type PT1000) is integrated into the vehicle inlet.
469;qure;A pedestrian shall be considered close to the crosswalk when his projected movement will bring him into the pedestrian warning area (TSA5_Func-319) at the time of the EV reaching the crosswalk.
497;qure;The system shall not issue crosswalk warnings if the only objects close to the crosswalk are cyclists driving parallel to the vehicle's direction of travel.
498;qure;The vehicle function crosswalk alert is intented to warn the driver when he is approaching a crosswalk and a pedestrian is detected close to the crosswalk.
499;qure;Therefore the system provides a close view on the area in front of the car.
500;qure;The ultrasonic sensors support the Object Detection (OD) of the SVS and allows to display discrete distance information of close objects.
501;qure;The Top View Front Zoom assists the driver to maneuver the vehicle close to obstacles in front of the vehicle.
892;qure;The probability threshold for an azimuthal side lobe detection may be higher than for the determination of the signal DTR_Obj_X_LongFusion_Qual / DTR_Obj_X_LongFunc_Qual to enable a pedestrian detection in connection with camera fusion at an early stage.
915;qure;The signal has to signalize (signal state 0 equal NACPT) that an object does not fulfill the requirements for a pedestrian (incl. pedestrian dummies, pedestrians with sports equipment or other equipment) independently of their moving state (moving, stationary) for a fast functional reaction exclusively after a fusion with a camera, i.
922;qure;The standard Brake-Assistant is a system which brakes more than the driver, if the driver touches the brake pedal fast but not deep enough.
1050;qure;The long range radar shall support the function by the detection of PD ahead of the system vehicle and by providing necessary information like position (x, y), velocity (vx, vy) and quality measures.
1178;qure;As long as the belt buckle status cannot be recorded, the message `` Signal Not Available '' is present on the CAN.
1430;qure;The component detects several new unfiltered raw targets in every system cycle.
1431;qure;The component has to detect and calculate several additional objects on side tracks and in front of the preceding vehicle.
1876;qure;Information: If the engine is in the state `` automatic stop '' and the absence of the driver is detected, then a level 1 restart must be requested as soon as possible.
G.D9.3.0.5;1999 - tcs.txt;The operational capabilities to be performed by the system will be determined by task analysis in accordance with MIL STD 1388 Task 401 as a guide based on a thorough understanding of Outrider and Predator mission requirements. Tasks will be evaluated and allocated based on operator skills and proficiencies. The initial TCS task analysis will produce a system baseline which will be optimized by engineering analysis and operator evaluations.
G.D9.3.1.1.0.8;1999 - tcs.txt;The TCS shall inform the operator if the operator attempts to execute a function prohibited as a result of the determined level of interaction.
G.D9.3.1.1.2.0.3;1999 - tcs.txt;The TCS shall be capable of automatically recording system state data, interface communications and other information necessary to support event reconstruction.
G.D9.3.2.1.1.0.5;1999 - tcs.txt;The TCS flight route planner shall include, as a minimum, the following flight planning tools: 1. Weight and balance take off data calculations. 2. Fuel Calculations. 3. Terrain avoidance warning for line of sight flights. 4. Minimum data link reception altitude calculations for line of sight flights. 5. Payload search area information such as: visual acuity range due to atmospheric conditions, diurnal transition periods for thermal imagery, and lunar and solar terrain shadowing. 6. Ability to designate flight corridors and restricted air space.
G.D9.3.2.1.1.1.0.2;1999 - tcs.txt;A de-clutter capability shall be provided that allows the operator to display only a selected number of the most significant threats.
G.D9.3.2.2.1.5.0.1;1999 - tcs.txt;TCS shall provide the capability to monitor specific telemetry elements real-time, and record all telemetry elements for future review and processing.
G.D9.3.2.2.2.2.1.1;1999 - tcs.txt;The TCS shall display the current search footprint and the search history of the payload on the map.
G.D9.3.2.2.3.0.2;1999 - tcs.txt;The TCS shall provide the system functionality necessary to record data obtained via the data link.
G.D9.3.2.2.3.1.0.4;1999 - tcs.txt;As a minimum the TCS LOS data terminal control modes shall include acquisition, autotrack, search, manual point, omni directional, as well as directional modes of operation, if applicable to the selected data link.
