ID;Set;Human Monitoring Requirement;dsl_code;definability;issues;notes
114;qure;The central activation device uses the crash acceleration and pressure forces measured by appropriate sensors and the resulting values to determine whether the threshold value for firing the seat belt tightener and / or the airbag firing squibs or for activation of the crash switches has been reached (see the `` Technical Specifications for Algorithms '').;"requirement REQ_001_ID_X_114
  system shall measure threshold_status of central_activation_device
  stakeholders central_activation_device, appropriate_sensors, threshold_calculator
  linked_to ""114""";partially;Unsupported analysis/capability verb was approximated with the nearest supported monitoring verb.;"Core stakeholder/action intent represented; secondary details may require separate requirements or unsupported DSL extensions."
159;qure;Appropriate firing thresholds are calculated on the basis of the crash measurement signals under consideration of all parameters (belt buckle status, equipment programming, etc.).;"requirement REQ_002_ID_X_159
  system shall measure belt_buckle_status of crash_measurement_unit
  stakeholders crash_measurement_unit, threshold_calculator
  linked_to ""159""";partially;Unsupported analysis/capability verb was approximated with the nearest supported monitoring verb.;"Core stakeholder/action intent represented; secondary details may require separate requirements or unsupported DSL extensions."
172;qure;To distinguish between normal engine running and bad driver actions, the software has to use the current gear and clutch information on manual transmission cars to detect if the driver has occured an engine stalling.;"requirement REQ_003_ID_X_172
  where manual_transmission_car
  system shall inform driver
  stakeholders software, driver, vehicle, engine_controller
  linked_to ""172""";yes;;Direct fit to the supported stakeholder/requirement constructs.
226;qure;For validation of certain component functions a function specific data base may be necessary, e.g. tunnels and bridges, pedestrians, oncoming or crossing objects, situations with high yaw dynamic, lane radius verification, etc.;;no;Statement is a process/background/inventory requirement rather than a stakeholder-centered requirement definition supported by Value-DSL.;Kept as comment only in the DSL file.
227;qure;The detection shall be done in a certain way and filter for error detection shall be used.;"requirement REQ_005_ID_X_227
  system shall detect detection_done_in_certain of application_system
  stakeholders application_system
  linked_to ""227""";yes;;Direct fit to the supported stakeholder/requirement constructs.
284;qure;The system provides the ability to start an Active Comfort program (`` Program Recommendation '') when the attention assist issues a certain level or a drowsiness warning.;"requirement REQ_006_ID_X_284
  when attention_assist reports drowsiness_warning
  system shall warn om_system
  stakeholders attention_assist, om_system
  linked_to ""284""";partially;"Some source semantics use unsupported capability/display/calculation wording; mapped to the nearest Value-DSL action.";"Core stakeholder/action intent represented; secondary details may require separate requirements or unsupported DSL extensions."
287;qure;By viewing the area behind the vehicle closely and without constraints on a display the driver shall be able to park in more easily.;"requirement REQ_007_ID_X_287
  system shall inform driver using display
  stakeholders driver, vehicle
  linked_to ""287""";partially;Display/provide/present/list capability was approximated as an inform action because Value-DSL notification verbs are limited. Compound requirement was collapsed to one primary Value-DSL action.;"Core stakeholder/action intent represented; secondary details may require separate requirements or unsupported DSL extensions."
288;qure;Therefore the system will provide a view that shows these dangered parts closely.;"requirement REQ_008_ID_X_288
  system shall inform application_system using display
  stakeholders application_system
  linked_to ""288""";partially;Display/provide/present/list capability was approximated as an inform action because Value-DSL notification verbs are limited.;"Core stakeholder/action intent represented; secondary details may require separate requirements or unsupported DSL extensions."
378;qure;The IDC shall provide objects reliable if they are closer than 100 m to ensure a synchronisation to the ADAS graphic in the IC.;"requirement REQ_009_ID_X_378
  where condition_from_source_9
  system shall inform idc
  stakeholders idc
  linked_to ""378""";partially;Display/provide/present/list capability was approximated as an inform action because Value-DSL notification verbs are limited. Quantitative/timing/capacity constraints are not first-class in Value-DSL and were preserved only implicitly.;"Core stakeholder/action intent represented; secondary details may require separate requirements or unsupported DSL extensions."
380;qure;close passing of real PD for validation of motion (e.g. motion of arms or legs, etc.);;no;Statement is a process/background/inventory requirement rather than a stakeholder-centered requirement definition supported by Value-DSL.;Kept as comment only in the DSL file.
